instanceID,siteLabel,date,gpsLocation:Latitude,gpsLocation:Longitude,gpsLocation:Altitude,gpsLocation:Accuracy,sitePic__filename,sitePic__type,sitePic__url,sitePic,aspect,slope,SiteNotes,weather,startTime,device,daubPlots__daub_Xcoord,daubPlots__daub_Ycoord,daubPlots__denso,daubPlots__daubplotbare,daubPlots__daubplotltter,daubPlots__daubplotgraminoid,daubPlots__daubplotforb,daubPlots__daubplotshrub,daubPlots__daubplottree,daubPlots__depthOhorizon,daubPlots__depthMhorizon1,daubPlots__depthOhorizon2,daubPlots__depthMhorizon2,daubPlots__depthOhorizon3,daubPlots__depthMhorizon3,daubPlots__depthOhorizon4,daubPlots__depthMhorizon4,daubPlots__tempOhorizon,daubPlots__tempMineral,daubPlots__VegCompositionBlock__speciesCode,daubPlots__VegCompositionBlock__coverClass,vegRich_tree,vegRich_shrub,deadDown,plantMeasurements__plantStartTime,plantMeasurements__taxon,plantMeasurements__indiv,plantMeasurements__xcoord,plantMeasurements__ycoord,plantMeasurements__direction,plantMeasurements__phenology,plantMeasurements__asochost,plantMeasurements__circumStem,plantMeasurements__width,plantMeasurements__width2,plantMeasurements__height,plantMeasurements__height_sample,endTime
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epilobium,3,,,,2018-07-18T00:28:22.566Z,Geranium,4,39,28,west,flowering,null,null,30,24,44,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fesyuca,2,,,,2018-07-18T00:34:36.831Z,Geranium,5,39,18,west,flowering,null,null,45,33,56,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla palmate,2,,,,2018-07-18T00:39:56.651Z,Geranium,7,12,37,north,flowering,null,null,41,41,59,22,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fragaria,1,,,,2018-07-18T00:45:59.622Z,Geranium,8,32,26,east,flowering,null,null,37,30,47,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk grass same as b4,2,,,,2018-07-18T00:51:37.692Z,Geranium,6,15,1,west,flowering,null,null,51,56,74,30,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk grass 2,1,,,,2018-07-18T00:56:52.955Z,Geranium,9,47,17,east,flowering,null,null,56,38,42,20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carex,1,,,,2018-07-18T01:01:08.356Z,Geranium,10,46,28,west,flowering,null,null,44,43,54,21,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elymus,1,,,,2018-07-18T01:04:01.066Z,Sunflower,1,21,26,west,flowering,null,null,70,66,64,40,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunflower,1,,,,2018-07-18T16:31:02.770Z,Sunflower,2,45,10,north,flowering,null,null,55,42,58,41,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delphinium occidentale,2,,,,2018-07-18T16:35:35.002Z,Sunflower,3,25,45,null,flowering,null,null,41,35,52,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb veg,2,,,,2018-07-18T16:41:51.762Z,Sunflower,4,28,46,null,flowering,null,null,41,34,55,25,
,,,,,,,,,,,,,,,,,50,23,0,1,1,1,6,0,0,6,null,6,null,8,null,8,null,56.3,null,Delphinum occidentale,3,,,,2018-07-18T16:45:59.028Z,Sunflower,5,25,3,null,flowering,null,null,45,32,43,29,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sunflower,3,,,,2018-07-18T16:51:43.519Z,Sunflower,6,25,31,null,flowering,null,null,17,16,52,25,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potentilla palmate,2,,,,2018-07-18T16:56:51.458Z,Sunflower,7,13,28,null,flowering,null,null,36,47,62,35,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geranium,2,,,,2018-07-18T17:01:38.198Z,Sunflower,8,5,25,null,flowering,null,null,69,69,46,36,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk purple astrr,2,,,,2018-07-18T17:07:22.215Z,Sunflower,9,4,16,null,flowering,null,null,26,21,71,36,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk grass same as b4,2,,,,2018-07-18T17:11:23.918Z,Sunflower,10,9,8,null,flowering,null,null,28,23,59,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gilia,1,,,,2018-07-18T17:15:34.631Z,Sedum,1,2,26,null,flowering,null,null,3,2,11,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Festuxa,1,,,,2018-07-18T17:28:42.510Z,Sedum,2,2,26,null,flowering,null,null,11,9,7,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb large leaves aster i think,2,,,,2018-07-18T17:29:26.338Z,Sedum,3,6,33,null,flowering,null,null,16,11,12,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achillea m,1,,,,2018-07-18T17:33:15.361Z,Sedum,4,6,34,null,flowering,null,null,11,10,13,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk forb,1,,,,2018-07-18T17:35:42.023Z,Sedum,5,0,32,null,flowering,null,null,5,4,10,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chickweed looking thing,1,,,,2018-07-18T17:38:46.992Z,Sedum,6,0,32,null,flowering,null,null,16,15,12,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unk fabaceae,1,,,,2018-07-18T17:39:55.470Z,Sedum,7,1,22,null,flowering,null,null,17,11,13,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-18T17:45:24.786Z,Sedum,8,0,20,null,flowering,null,null,9,8,10,2,
,,,,,,,,,,,,,,,,,12,25,0,1,2,4,2,0,0,7,8,12,0,7,0,5,10,56.2,53.3,Potentilla palmate,3,,,,2018-07-18T17:49:42.426Z,Sedum,9,5,23,null,flowering,null,null,6,4,13,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delphinium occidentale,3,,,,2018-07-18T17:52:57.436Z,Sedum,10,1,30,null,flowering,null,null,15,10,11,3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Geranium,2,,,,2018-07-18T17:56:07.083Z,Erigonum,1,3,26,null,flowering,null,null,37,27,25,4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epilobium,2,,,,2018-07-18T18:28:57.642Z,Erigonum,2,7,27,null,flowering,null,null,45,36,19,3,
